2014年10月16日 外資及陸資買賣超彙總表 (股)
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數"
" ","2536  ","宏普  ","214000","150000","64000",
" ","3024  ","憶聲  ","74000","10000","64000",
" ","9911  ","櫻花  ","105000","43000","62000",
" ","9934  ","成霖  ","116000","56000","60000",
" ","1201  ","味全  ","59000","0","59000",
" ","2342  ","茂矽  ","288000","229000","59000",
" ","1455  ","集盛  ","141000","85000","56000",
" ","3061  ","璨圓  ","455000","401000","54000",
" ","6286  ","立錡  ","271000","217000","54000",
" ","3027  ","盛達  ","62000","9000","53000",
" ","8150  ","南茂  ","107000","54000","53000",
" ","8210  ","勤誠  ","113000","60000","53000",
" ","2392  ","正崴  ","357000","304851","52149",
" ","8131  ","福懋科","140000","89000","51000",
" ",="079065","永豐AH","50000","0","50000",
" ","3535  ","晶彩科","51000","1000","50000",
" ","6202  ","盛群  ","139000","89000","50000",
" ","2528  ","皇普  ","50000","1000","49000",
" ","3048  ","益登  ","179000","130000","49000",
" ","5531  ","鄉林  ","129000","81000","48000",
" ","1806  ","冠軍  ","77000","30000","47000",
" ","3518  ","柏騰  ","65000","18000","47000",
" ","2453  ","凌群  ","47000","2000","45000",
" ","2493  ","揚博  ","79000","35000","44000",
" ","3003  ","健和興","48000","4000","44000",
" ","8163  ","達方  ","134000","91000","43000",
" ","2375  ","智寶  ","43000","1000","42000",
" ","2373  ","震旦行","209100","168000","41100",
" ","5538  ","F-東明","42000","1000","41000",
" ",="081940","93群益","40000","0","40000",
" ",="08646P","群益LH","40000","0","40000",
" ","9906  ","欣巴巴","47000","7000","40000",
" ","1471  ","首利  ","52000","13000","39000",
" ","2115  ","F-六暉","46082","8000","38082",
" ","1512  ","瑞利  ","44000","6000","38000",
" ","3645  ","達邁  ","54000","16000","38000",
" ","5469  ","瀚宇博","222000","185000","37000",
" ","2007  ","燁興  ","45000","9000","36000",
" ","2478  ","大毅  ","46000","10000","36000",
" ","1735  ","日勝化","36000","1000","35000",
" ","1786  ","科妍  ","72000","37000","35000",
" ","2480  ","敦陽科","44000","9000","35000",
" ","3501  ","維熹  ","55000","20000","35000",
" ","3018  ","同開  ","37000","3000","34000",
" ","3533  ","嘉澤  ","190000","156000","34000",
" ","6191  ","精成科","118000","84000","34000",
" ",="01002T","國泰R1","50000","17000","33000",
" ","2929  ","F-淘帝","71000","38000","33000",
" ","2430  ","燦坤  ","63000","31000","32000",
" ","1108  ","幸福  ","39000","8000","31000",
" ","913889","大成糖","31000","0","31000",
" ",="076044","統一AV","30000","0","30000",
" ",="082713","ML元富","30000","0","30000",
" ",="08597P","元大JZ","30000","0","30000",
" ","6142  ","友勁  ","36000","6000","30000",
" ","2444  ","友旺  ","43000","14000","29000",
" ","1309  ","台達化","124000","96000","28000",
" ","2832  ","台產  ","53000","25000","28000",
" ","4916  ","事欣科","39000","11000","28000",
" ","2425  ","承啟  ","81000","54000","27000",
" ","2468  ","華經  ","56000","29000","27000",
" ","2607  ","榮運  ","143000","116000","27000",
" ","4733  ","上緯  ","65056","39000","26056",
" ","1110  ","東泥  ","34000","8000","26000",
" ","4994  ","傳奇  ","39000","13000","26000",
" ",="078954","ZA元大","25000","0","25000",
" ","1435  ","中福  ","42000","17000","25000",
" ","1474  ","弘裕  ","25000","0","25000",
" ","2427  ","三商電","31000","6000","25000",
" ","2460  ","建通  ","28000","3000","25000",
" ","2485  ","兆赫  ","148000","123000","25000",
" ","6405  ","悅城  ","25000","1000","24000",
" ","8033  ","雷虎  ","30000","6000","24000",
" ","8996  ","高力  ","43850","20000","23850",
" ","2486  ","一詮  ","71000","48000","23000",
" ","3705  ","永信  ","93000","70000","23000",
" ","6183  ","關貿  ","27000","5000","22000",
" ","2031  ","新光鋼","64000","43000","21000",
" ","2374  ","佳能  ","323000","302000","21000",
" ","2514  ","龍邦  ","128000","107000","21000",
" ","9942  ","茂順  ","56400","36000","20400",
" ",="03288C","元牛C1","20000","0","20000",
" ","2413  ","環科  ","22000","2000","20000",
" ","2464  ","盟立  ","38000","18000","20000",
